dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,As of Population,Cases change,Death Change,Measures
08/09/2020,8,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
07/09/2020,7,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
06/09/2020,6,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
05/09/2020,5,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
04/09/2020,4,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
03/09/2020,3,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
02/09/2020,2,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
01/09/2020,1,9,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
31/08/2020,31,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
30/08/2020,30,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
29/08/2020,29,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
28/08/2020,28,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
27/08/2020,27,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
26/08/2020,26,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
25/08/2020,25,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
24/08/2020,24,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
23/08/2020,23,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0.02789612,0,0,0,Social Distancing and Wearing Masks Enforced
22/08/2020,22,8,2020,2,0,Laos,LA,LAO,7169456,Asia,0.02789612,2.78961E-07,2,0,Social Distancing and Wearing Masks Enforced
21/08/2020,21,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,-2,0,Social Distancing and Wearing Masks Enforced
20/08/2020,20,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
19/08/2020,19,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
18/08/2020,18,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
17/08/2020,17,8,2020,0,0,Laos,LA,LAO,7169456,Asia,0,0,0,0,Social Distancing and Wearing Masks Enforced
