countriesAndTerritories,As of Population,continentExp,,,,,,,,,,,,,,,,,,,
Afghanistan,3.54873E-06,Asia,,,,Row Labels,Average of As of Population,,,,,,,,,,,,,,
Afghanistan,5.25738E-06,Asia,,,,Afghanistan,3.75479E-06,,countriesAndTerritories,As of Population,Ranking,,Row Labels,Average of As of Population,,,,,,,
Afghanistan,0,Asia,,,,Democratic_Republic_of_the_Congo,5.86351E-07,,Australia,3.21871E-06,53,,Botswana,2.06885E-05,,,,,,,
Afghanistan,8.41181E-07,Asia,,,,Denmark,4.73262E-05,,Comoros,3.26632E-06,54,,Africa,2.06885E-05,,,,,,,
Afghanistan,1.73494E-06,Asia,,,,Djibouti,2.20647E-05,,Nicaragua,3.38119E-06,55,,Brazil,9.16743E-05,,,,,,,
Afghanistan,3.39101E-06,Asia,,,,Dominica,4.51799E-06,,Egypt,3.48445E-06,56,,America,9.16743E-05,,,,,,,
Afghanistan,2.52354E-06,Asia,,,,Dominican_Republic,4.14684E-05,,Cameroon,3.51672E-06,57,,British_Virgin_Islands,9.42116E-06,,,,,,,
Afghanistan,0,Asia,,,,Ecuador,3.36466E-05,,Senegal,3.69363E-06,58,,America,9.42116E-06,,,,,,,
Afghanistan,2.62869E-07,Asia,,,,Egypt,3.48445E-06,,Afghanistan,3.75479E-06,59,,Brunei_Darussalam,1.27187E-06,,,,,,,
Afghanistan,2.02409E-06,Asia,,,,El_Salvador,2.37329E-05,,Ethiopia,3.76205E-06,60,,Asia,1.27187E-06,,,,,,,
Afghanistan,1.78751E-06,Asia,,,,Equatorial_Guinea,1.41103E-05,,Zambia,3.78086E-06,61,,Bulgaria,8.7358E-05,,,,,,,
Afghanistan,1.62979E-06,Asia,,,,Eritrea,7.05633E-07,,Barbados,3.78419E-06,62,,Europe,8.7358E-05,,,,,,,
Afghanistan,3.8116E-06,Asia,,,,Estonia,3.44331E-05,,Japan,3.78917E-06,63,,Burkina_Faso,6.27599E-07,,,,,,,
